,fourth_downs_rate_awayAvg,def_st_td_homeAvg,def_st_td_awayAvg,def_st_td_opp_awayAvg,def_st_td_opp_homeAvg,score_diff_homeAvg,score_diff_awayAvg,home,away,winner,date
169,0.23275227277829877,0.35833997444638205,0.42099871516681064,0.6666167150457329,0.6209508648737128,-0.8815086083507431,-1.711886006858748,Ravens,Titans,1,2002-11-24
170,0.1505317035586437,0.5176838464772874,0.9158736932169892,0.0,0.188104995012103,-3.616393172908209,6.0162746138365275,Cardinals,Raiders,0,2002-11-24
171,0.16971116503535533,0.515020776461339,0.0,0.0,0.09061606294092245,-1.0623072662167234,1.5466084784229666,Seahawks,Chiefs,1,2002-11-24
172,0.4067273216367555,1.102049749754542,0.8673776998730842,0.27663369541429067,0.3797122336690633,9.599903513240298,10.018611520580489,Buccaneers,Packers,1,2002-11-24
173,0.2764018959549392,0.0,0.18208212777965962,0.19528457170386057,0.5208699482991326,-11.977493520871327,-1.1401824898033666,Texans,Giants,1,2002-11-24
174,0.24378389340305234,0.39101365652582937,0.17466500357114298,0.23110447339700416,0.45180737949209504,0.7461106714045465,1.52435917896391,Broncos,Colts,0,2002-11-24
175,0.39740117976782907,0.20106715474151396,0.0,0.5022924142963505,0.10463643049558793,4.515813558388161,7.548061011861163,49ers,Eagles,0,2002-11-25
176,0.4231111266344224,0.4788215752850161,0.7112662958070907,0.0,0.5868227863947669,-8.133460415944501,1.8915190671619795,Lions,Patriots,0,2002-11-28
177,0.20469699637009012,0.2678229793216319,0.28815242666054164,0.20054343262572502,0.0,-5.055719575663858,-6.337651907775369,Cowboys,Washington,1,2002-11-28
178,0.2340308393633457,0.4748800238263107,0.202085167203721,0.4348666225267688,0.5679755699542157,-1.9002723965435178,1.9324714584863592,Bills,Dolphins,1,2002-12-01
179,0.35227225785929395,0.5282148613035093,0.3453834664782313,0.5984991279694054,0.6370685760267912,-8.476138781312393,-2.8629230585365746,Bengals,Ravens,0,2002-12-01
180,0.14359247905767514,0.3091896559111986,0.1760906812030562,0.23299082997457118,0.29158225672516347,1.8477441789287048,-4.132292022317197,Browns,Panthers,0,2002-12-01
181,0.18380498432569725,0.8358646552391744,0.18716455866496925,0.19480288920546332,0.26658320646108213,8.196888109544217,-6.148119692306453,Packers,Bears,1,2002-12-01
182,0.3820114117095712,0.0,0.49890862830086086,0.18128285376612768,0.0,1.52597004045527,-5.687455729670154,Chiefs,Cardinals,1,2002-12-01
183,0.23062616668567848,0.0,0.22280262757850539,0.19369529915386674,0.6504245943203449,-3.3838854138313184,6.198915986547306,Vikings,Falcons,0,2002-12-01
184,0.2493883763080506,0.17533789328799362,0.40571456564284336,0.6424155258713247,0.1880513250352519,-0.607512452602076,-0.9424623412898838,Giants,Titans,0,2002-12-01
185,0.4088753081041334,0.09667038302164693,0.10008589587571126,0.19817696432292575,0.0,3.158767301241215,4.211421386787006,Jaguars,Steelers,0,2002-12-01
186,0.23974222218457097,0.0,0.0,0.5019979271492511,0.22274051600609676,3.2472489582612862,-12.661809162182596,Colts,Texans,1,2002-12-01
187,0.4386629275566938,0.8227725512917305,0.6188896574133457,0.4364650655250456,0.30745304904858617,-1.2810958861695199,2.778683455190272,Chargers,Broncos,1,2002-12-01
188,0.4498137298174184,0.0,0.0,1.4483005922315644,0.4840805498333146,10.404562359677936,1.658093429842428,Eagles,Rams,1,2002-12-01
189,0.1989729735036656,0.193642238421094,0.49636335015920463,0.32667204270004774,0.10077246404370294,3.7419601523828043,-2.4759352411370057,49ers,Seahawks,1,2002-12-01
190,0.28083274926420254,0.6116340079884238,1.0434970544295077,0.18919813194803786,0.39141119304370225,4.251690701637809,11.172076070587634,Saints,Buccaneers,1,2002-12-01
191,0.2561294714673736,0.8849685855742684,0.21979859651160466,0.35009541094240254,0.35767546957211943,5.471606751719909,-1.5370986316755877,Raiders,Jets,1,2002-12-02
192,0.4735936286203358,0.0880453406015281,0.186119162808429,0.2163482827566734,0.0,-5.3106367382475295,1.9251135663415377,Cowboys,49ers,0,2002-12-08
193,0.35577401018514115,0.39100021915679223,0.0,0.21468692065838,0.5700199344096417,-0.3521036952998955,4.159666935330028,Titans,Colts,1,2002-12-08
194,0.40636291389587154,0.0,0.0,1.2299676046213974,0.0,1.2216208897991636,1.6647780015681277,Chiefs,Rams,1,2002-12-08
195,0.2302838210770449,0.34741625653531416,0.2025524968107964,0.5473123574257984,0.0,-0.4645691487889867,-4.512851018536953,Patriots,Bills,1,2002-12-08
196,0.21883644846393224,0.09647048411625733,0.0,0.31543675859901393,0.10715079029407855,6.10167632115201,-10.196437082524909,Steelers,Texans,0,2002-12-08
197,0.18996272859053925,0.7505538824586425,0.453265901421428,0.18669089087479157,0.18231594561207162,10.329401023790446,10.948457370208603,Buccaneers,Falcons,1,2002-12-08
198,0.2521657109185232,0.19334076604329387,0.0,0.1812321258818449,0.19334076604329387,-3.21837647764714,-1.2477254851824031,Washington,Giants,0,2002-12-08
199,0.264415474803093,0.0,0.5090577071205278,0.6139635446651972,0.46532670782030516,-10.95487670832528,-8.029495877001889,Panthers,Bengals,1,2002-12-08
200,0.19645983993852964,0.09317785459903834,0.2979411939884502,0.280974360084973,0.0,2.219322497606761,1.7611051744731394,Jaguars,Browns,0,2002-12-08
201,0.3238482157039141,0.39647959201501193,0.46148991289872043,0.39719125531641436,0.17471466172211195,-8.923015295403463,-6.17680688253579,Cardinals,Lions,1,2002-12-08
202,0.36030740824725993,0.47839925549623297,0.11993238466407426,0.3808441173166096,0.23067668012468298,-0.6243020100733454,9.985304869568067,Seahawks,Eagles,0,2002-12-08
203,0.2867257872420099,0.451922239277906,0.41971477906952737,0.37718649858831166,0.32527359167095166,-0.5437749852880782,1.740876974409118,Ravens,Saints,0,2002-12-08
204,0.4895784323070915,0.2118349123412538,0.5964044212201095,0.4206076021293173,0.0,3.7942829818462993,1.4687373328225675,Jets,Broncos,1,2002-12-08
205,0.2694297283757342,0.6235466621108324,0.7691348547847938,0.3447552254265219,0.29629111861039875,-6.257233338804334,6.682943779291504,Chargers,Raiders,0,2002-12-08
206,0.1707585012173589,0.805527737501081,0.0,0.37429559902976595,0.08764563028493624,7.48749485821841,-3.592580557637338,Packers,Vikings,1,2002-12-08
